index,text,label,score
2701,真的超級棒！,positive,0.994536817073822
22831,詩情超棒,positive,0.9939006567001343
22791,書和好棒!!,positive,0.993107259273529
41595,超好!!!,positive,0.9928650856018066
22787,書和好棒!!!!!,positive,0.9927597045898438
33663,很好很好,positive,0.9925151467323303
43741,周今天手感不錯的感覺,positive,0.9923731684684753
31153,好的，感謝,positive,0.9923225045204163
6205,都好棒啊！有來有往的,positive,0.992251455783844
921,這兩隊真的好美,positive,0.9922075867652893
10604,氣氛很好,positive,0.9919837117195129
151,多給替補的信心是好事！,positive,0.9917863011360168
35300,親！愛！精！誠！,positive,0.9916742444038391
35586,這場看現場很值得!,positive,0.9916329383850098
255,發得很好,positive,0.9916121959686279
16949,兩隊真的優秀，打的真好！,positive,0.9915960431098938
23535,爆發力真好,positive,0.9915128350257874
14771,這個想法很好,positive,0.9914002418518066
44855,這顆打很好!,positive,0.9913723468780518
10472,有笑容了~很好,positive,0.9912228584289551
4731,nice game!,positive,0.9910818338394165
192,很滿意,positive,0.9910439252853394
26755,恩得好好培養！努力成為六邊形戰士！,positive,0.9910090565681458
20485,說得很好,positive,0.9908198714256287
395,niceeeee. love it,positive,0.9907746911048889
43302,nice one !!!,positive,0.9907737374305725
34385,他cover也很好 印象深刻,positive,0.990757405757904
2583,成功率是真不錯,positive,0.9906259775161743
10626,現場還能聽音樂喔，真不錯ㄟ，感覺真棒,positive,0.990602970123291
1652,愛心愛心,positive,0.9905980229377747
5582,幸福感滿滿,positive,0.9905428290367126
7111,很喜歡這種有做過功課的發問,positive,0.9905003905296326
31421,超級棒 ,positive,0.9902909398078918
29619,好棒!!!,positive,0.9901076555252075
38836,好棒!!!,positive,0.9901076555252075
6817,高狀況很好,positive,0.9900758862495422
31124,很好,positive,0.9899126887321472
34343,這顆修正的很好,positive,0.9898403286933899
23358,修得好!打得好!,positive,0.9897612929344177
21321,nice Game!!!,positive,0.9897412061691284
12069,好棒!!!!,positive,0.9897333979606628
17729,好棒!!!!,positive,0.9897333979606628
20086,喜歡這個講解組合,positive,0.9896877408027649
46059,nice!!,positive,0.9895958304405212
41903,太棒了 好高興那麼多人支持排球,positive,0.9895519614219666
3322,大家都好棒！,positive,0.9895134568214417
43679,不错的游戏！,positive,0.9894675612449646
