index,text,label,score
10443, 恶心  恶心  恶心 ,negative,0.9876704216003418
4959,講話真的很臭,negative,0.9858269095420837
19642, 恶心  恶心  牛仔帽脸  恶心  恶心  恶心 ,negative,0.9853054881095886
45408,糟糕~~沈受傷了,negative,0.9847549200057983
28305,疫情一直在變種 很糟糕,negative,0.9845455884933472
281, 呕吐  呕吐  呕吐  恶心  恶心  恶心  恶心  恶心 ,negative,0.9836580157279968
4043,糟糕~~要吃太陽餅了,negative,0.9832183718681335
7649,超恐怖 感覺很痛,negative,0.9824207425117493
1367,「接得很糟糕 笑哭了  笑得满地打滚 ,negative,0.9814198017120361
6488,字體是真的醜,negative,0.9782577157020569
42557,心情有差,negative,0.9771534204483032
22737,運氣真的很差,negative,0.9766616225242615
31252,糟了！,negative,0.9757762551307678
8872,太慘了太慘了,negative,0.9756798148155212
21983,西米心態崩潰了嗎！看起來很不開心,negative,0.9750153422355652
3178,真的虐心,negative,0.9747596383094788
20908,實力有差！,negative,0.9735930562019348
23505,超級可悲,negative,0.9720055460929871
22734,氣氛很差,negative,0.9706555604934692
29034,巴西就常斷線啊 沒辦法 斷的時候真的很悲劇,negative,0.9694944620132446
6370,超醜,negative,0.9688303470611572
29854,最怕的情況…,negative,0.9671790599822998
18344,表現太差了,negative,0.966632604598999
34036,氣氛不好@@,negative,0.9650079011917114
24068,太扯!!!!,negative,0.9622864723205566
26237,也太慘了,negative,0.9621644616127014
15793,氣死,negative,0.962151825428009
25812,氣死,negative,0.962151825428009
23824,氣死,negative,0.962151825428009
13773,圖有點醜啊..,negative,0.9620909690856934
35909,糟糕糟糕,negative,0.9618013501167297
12224,太慘了,negative,0.9614417552947998
40760,感覺有人在臭欸 ww,negative,0.9607219696044922
26547,氣氛不好,negative,0.9590237736701965
31834,我的心臟不好,negative,0.958922803401947
603,太可怕了,negative,0.9580675959587097
25860,虐心劇場 之 十五分大決戰 …,negative,0.9574272632598877
40677,虐心劇 二部曲…,negative,0.9569310545921326
33387,真的太兇...,negative,0.9568371176719666
33801,這種真的很討厭== 很難守,negative,0.9563055634498596
43892,他的彈性太鬼了,negative,0.9560055136680603
21850,差一分輸掉 會很懊悔,negative,0.9551282525062561
32649,文誠太鬼了,negative,0.9548171162605286
27532,太噁了拉 黑亞當吧,negative,0.954704761505127
40797,心臟太不舒服了啦,negative,0.9545308351516724
40938,噁心官僚,negative,0.9545153379440308
29565,這戰術太鬼了吧⋯⋯,negative,0.9542948603630066
13067,訪問的問題有點糟,negative,0.9541844725608826
