index,TEXT,LABEL,SCORE
656,詩涵也有高度，真的讚,positive,0.9967442750930786
108701,小牛真的很棒　超讚的教練,positive,0.9965921839078268
34876,這個分析表好讚,positive,0.9964459339777628
86653,這場的精彩神救 真的都好棒,positive,0.996427595615387
14572,詩晴真的超讚,positive,0.9963748653729757
46414,球員及球團都很棒！進場支持！,positive,0.9963696002960205
37232,真的打得很好了，很好看❤‍🔥太陽神很棒了！也恭喜台產,positive,0.9963551163673401
70337,真的很喜歡這兩位球評，準備充足,positive,0.996282378832499
106883,詩晴真的很讚,positive,0.9961520036061605
61441,今天大家都超棒的！ 謝謝球員帶來的精采好球 也謝謝在線的粉絲替臺北鯨華加油 ,positive,0.9961020350456238
111249,詩情真的讚 又好萌,positive,0.9960592786471049
52039,喜歡這個講解組合,positive,0.9959330757459005
108476,詩晴表現真的很好！,positive,0.995888868967692
3281,精彩！雙方都很棒。,positive,0.9958192110061646
100217,"conti 很棒, 恭喜台電",positive,0.9957560102144877
105216,講評的很好啊,positive,0.9957382877667745
75409,很喜歡這兩隊今天激發出的火花，兩邊都很想拼，氣氛很熱絡，球賽這樣就會好看,positive,0.9957146247227987
38524,戰術執行成功 教練讚讚,positive,0.9957103530565897
114901,今天超跑的攻擊慾望感覺很強烈 讚讚,positive,0.9956645170847574
84632,現場的氣氛很好👍有機會可以去體驗看看,positive,0.9956523776054382
78206,超讚超讚開心打球,positive,0.9956354896227518
37120,超級好看。恭喜台產。,positive,0.9955785274505615
60486,這種長官最讚了,positive,0.9954962134361267
4207,這兩隊真的好讚😍😍😍,positive,0.9954873522122701
108688,小牛教練訪談內容好棒,positive,0.9954870939254761
92068,你好向我所有非常漂亮和漂亮的朋友致以問候我非常愛你你很好非常快樂我送你愛和平幸福生活中美好的事物帶來快樂希望和愛每一天都是新的一天來決定快樂和積極並給予快樂希望和愛播種快樂和平與愛自由快樂🙌,positive,0.9954628149668375
101913,曉佩表現 真的很棒,positive,0.9953710238138834
63072,主播真的超讚的,positive,0.9953678647677103
98089,詩晴超讚,positive,0.9953329761823019
49394,小牛真的是很讚的教練,positive,0.995324949423472
113104,周今天手感不錯的感覺,positive,0.9953208565711975
82973,感謝轉播 很棒的比賽,positive,0.9953115781148275
59106,書荷真的超棒！！,positive,0.9952768484751383
79677,今天真的很不錯 愛山林看得出拚勁 值得稱讚,positive,0.9952671925226847
60329,都很棒 後面很精彩,positive,0.9952395955721537
95877,好喜歡這個主播 會跟觀眾互動,positive,0.9952357014020284
60492,長官懂致詞很讚,positive,0.995182454586029
25442,小牛教練，讚！,positive,0.9951509435971578
14552,他們感情超好啊,positive,0.9951488773028055
58900,書荷今天手感超好,positive,0.9951332012812296
