TEXT,LABEL,SCORE
他們感情超好啊,positive,0.9974440932273865
詩情超棒,positive,0.9969191551208496
周今天手感不錯的感覺,positive,0.9961127936840056
這兩隊真的好美,positive,0.9960319697856902
書和好棒,positive,0.9956752359867096
書和好棒,positive,0.9956752359867096
有笑容了很好,positive,0.9956122636795044
好的感謝,positive,0.9954186379909515
好的感謝,positive,0.9954186379909515
氛圍真的好好,positive,0.995384007692337
很滿意,positive,0.9953601360321045
表現很好欸,positive,0.9953383505344392
幸福感滿滿,positive,0.9952627718448639
說得很好,positive,0.995230108499527
很喜歡這種有做過功課的發問,positive,0.99522665143013
超級棒 ,positive,0.9950776398181915
愛心愛心,positive,0.995074987411499
真的超級棒,positive,0.9950438141822815
成功率是真不錯,positive,0.9949647784233094
有進步是好事情了,positive,0.9949257373809814
都好棒啊有來有往的,positive,0.9949027895927429
喜歡這個講解組合,positive,0.9948298037052155
這顆修正的很好,positive,0.9948190450668336
發得很好,positive,0.9946918785572052
這顆漂亮聲音好棒,positive,0.9946859776973724
詩情打很好啊 很可愛,positive,0.9946848154067994
太棒了 好高興那麼多人支持排球,positive,0.9946581125259399
運氣超級好,positive,0.9943660497665405
他cover也很好 印象深刻,positive,0.9943639039993286
收音超好,positive,0.9943059086799622
發超好的,positive,0.994290679693222
真的很優秀,positive,0.9942394196987152
記憶力真好,positive,0.9941374659538269
超愛,positive,0.9940136075019836
兩位評論員說得很好呀,positive,0.9939967095851898
這顆好棒,positive,0.9939688742160798
修正超好,positive,0.9938492774963378
揭發很好,positive,0.9938239455223083
好美,positive,0.9938006103038788
好美,positive,0.9938006103038788
太棒了這個回答,positive,0.9937859773635864
美加好美,positive,0.9934935867786407
超超超超超超超超棒,positive,0.9934814870357513
發很好欸,positive,0.993470460176468
不错的游戏,positive,0.9934261441230774
不錯了 進步很多,positive,0.9933915138244628
nice game nice game ,positive,0.9933142066001892
nice game nice game,positive,0.9933142066001892
超好笑超可愛,positive,0.9932589530944824
超級好笑 剛好對我這邊,positive,0.9931667149066925
超級好笑,positive,0.9931370615959167
現場還能聽音樂喔真不錯ㄟ感覺真棒,positive,0.9930568337440491
球場品質看起來也很不錯,positive,0.9928362369537354
兩位都好棒,positive,0.9928317070007324
這個想法很好,positive,0.9928293824195862
Zsanett今天狀態真的很好,positive,0.9927943646907806
要學學泰國的快樂排球 心態超好,positive,0.9927735924720764
這是好事 ,positive,0.9927594065666199
這顆打很好,positive,0.9926600158214569
手臂的延展性也很好,positive,0.992626965045929
書豪也愛,positive,0.9926225244998932
很喜歡之前的台師陣容,positive,0.9925825595855713
佑晨真的好棒,positive,0.9925549626350403
兩隊都表現得超棒,positive,0.9925154447555542
太棒了 會越來越好的,positive,0.9924473166465759
都播的很好,positive,0.9923841655254364
好嗨 主場優勢,positive,0.992347925901413
兩隊都好棒,positive,0.9923352003097534
兩隊都好棒,positive,0.9923352003097534
兩隊都好棒,positive,0.9923352003097534
雙方都超棒,positive,0.9923288226127625
鄭態度超好,positive,0.9922339916229248
大家好棒,positive,0.9921562969684601
直線超級好,positive,0.9921509623527527
哇 家人好棒,positive,0.9920466244220734
大家都好棒,positive,0.9920113384723663
大家都好棒,positive,0.9920113384723663
大家都好棒,positive,0.9920113384723663
兩邊都好棒,positive,0.9919294118881226
兩邊都好棒,positive,0.9919294118881226
不錯唷 繼續努力,positive,0.9918908178806305
兩隊都好喜歡,positive,0.9918263256549835
主持人好專業,positive,0.991817444562912
收音不錯,positive,0.991784542798996
好專業,positive,0.991669088602066
都打得超好的,positive,0.9916541278362274
很強很漂亮,positive,0.9916483759880066
超棒,positive,0.991647481918335
超棒,positive,0.991647481918335
nice nice,positive,0.9916167855262756
nice nice,positive,0.9916167855262756
nice nice,positive,0.9916167855262756
大家好棒ㄚ,positive,0.9915972650051117
好棒,positive,0.9915615320205688
好棒,positive,0.9915615320205688
好棒,positive,0.9915615320205688
好棒,positive,0.9915615320205688
好棒,positive,0.9915615320205688
好棒,positive,0.9915615320205688
好棒,positive,0.9915615320205688
好棒,positive,0.9915615320205688
好棒,positive,0.9915615320205688
好棒,positive,0.9915615320205688
好棒,positive,0.9915615320205688
好棒,positive,0.9915615320205688
好棒,positive,0.9915615320205688
好棒,positive,0.9915615320205688
